rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss
21.82,13,133,5048,68096,8.236935429999999,0.026953125,0.2,0.11348313093185425,0.003785746,-0.5008092593401671,1320,-0.0011908012384083122,0.0005,6.647237703204155,1.931689739227295
20.93,13,134,5087,68608,7.831736189999999,0.03828125,0.2,0.3451133966445923,0.003014172,-0.47345151714980604,1330,-0.0007967689598444849,0.0005,5.431940692663193,2.121450424194336
20.52,13,135,5128,69120,7.698380139999999,0.0072265625,0.2,0.3206418752670288,0.0029975143,-0.5320701166987419,1340,-0.0006019177788402885,0.0005,6.069971084594727,2.6942107677459717
21.61,13,136,5169,69632,8.138990229999997,0.0181640625,0.2,0.37697917222976685,0.0045663435,-0.508601875975728,1350,-0.0024044744204729795,0.0005,6.445691844820976,2.76045560836792
21.02,13,137,5210,70144,7.868181000000001,0.02109375,0.2,0.3297538161277771,0.0063905367,-0.46845808178186416,1360,-0.0018930099438875913,0.0005,6.349091559648514,3.0976786613464355
19.16,13,138,5252,70656,7.047845150000001,0.0306640625,0.2,0.3991204500198364,0.0016504164,-0.40152896009385586,1370,-0.003579801379237324,0.0005,6.700411289930344,3.31483793258667
19.57,13,139,5297,71168,7.323641,0.0138671875,0.2,0.3288417458534241,0.0016018847,-0.39172021858394146,1380,-5.8927462669089435e-05,0.0005,3.8391103863716127,1.5902413129806519
19.52,13,140,5335,71680,7.3127229200000015,0.0876953125,0.2,0.37106049060821533,0.0030911197,-0.5226352665573358,1390,-0.01017891126102768,0.0005,5.074034038186073,1.9626096487045288
19.41,13,141,5375,72192,7.2374712599999995,0.068359375,0.2,0.37599360942840576,0.0033510672,-0.5414395794272423,1400,-0.005728553183143958,0.0005,5.662067803740501,2.1912152767181396
19.77,13,142,5417,72704,7.36300934,0.0236328125,0.2,0.3620179295539856,0.0007529126,-0.5414997067302465,1410,-0.0010330427088774742,0.0005,6.1016206532716755,3.4878976345062256
